Time,Material,InDueTotal,Consumab,CycleTime,Assembly
51840,3212274.768,679,19946.89057,1668.537565,4.012500772
52200,3212639.954,682,19983.9931,1665.932903,4.010727778
52560,3212270.543,687,19969.83333,1661.803846,4.01166876
52920,3213619.776,691,19979.84234,1658.827806,4.011105915
53280,3217576.953,700,19983.52264,1653.261034,4.001092342
53640,3217150.793,703,19984.91873,1652.080402,4.007949292
54000,3210314.398,714,19966.13123,1649.724907,4.005542037
54360,3215304.859,718,19978.10393,1650.734895,3.997229673
54720,3216657.795,727,19954.67784,1652.491463,3.985735197
55080,3216218.621,732,19961.66253,1651.201212,3.985517248
55440,3213702.411,735,19970.89709,1649.601449,3.990619499
55800,3214303.821,740,19967.83149,1646.42617,3.992096595
56160,3214698.19,744,19979.5778,1643.870968,3.989527778
56520,3213249.471,748,19977.735,1641.863258,3.986827141
56880,3214546.319,751,19982.9423,1639.279621,3.996188819
57240,3211731.344,758,19957.7148,1635.105758,3.981928459
57600,3216621.167,767,19954.49731,1633.427907,3.989856944
57960,3211303.542,772,19982.99888,1631.593064,3.986440131
58320,3213937.945,775,19965.77533,1630.276498,4.000645833
58680,3216035.541,779,19981.10108,1628.663991,4.001264315
59040,3217617.935,786,19981.35165,1626.90785,4.00388313
59400,3216967.576,790,19982.60524,1625.074745,4.006686364
59760,3214996.668,796,19979.99985,1621.993251,3.995624916
60120,3215236.977,803,19964.96121,1618.708705,3.988914088
60480,3213460.297,807,19975.70325,1617.425556,3.983841435
60840,3206115.323,813,19978.43334,1615.792494,3.97425641
61200,3215082.69,824,19972.64598,1615.748092,3.97901634
61560,3215900.96,828,19950.69848,1616.664495,3.972390351
61920,3211033.255,836,19982.23348,1615.451023,3.971768007
62280,3213665.142,842,19981.3311,1615.613904,3.956714435
62640,3209202.807,845,19958.11584,1615.332623,3.945152059
63000,3210175.835,851,19944.6809,1613.618644,3.933026984
63360,3210445.195,859,19972.21245,1612.758403,3.933052872
63720,3214923.085,861,19966.68297,1612.757862,3.923548807
64080,3215763.304,871,19975.70238,1611.567427,3.917919242
64440,3212864.267,875,19967.72752,1610.305785,3.912421012
64800,3213360.295,886,19966.62606,1611.244127,3.9122875
65160,3213860.011,889,19964.45462,1612.137475,3.916857965
65520,3210762.199,893,19972.9822,1612.390467,3.911560211
65880,3207982.505,901,19953.51646,1613.639839,3.908447253
66240,3214823.913,907,19967.14579,1615.158,3.912588391
66600,3210248.864,915,19952.71652,1614.924603,3.910381456
66960,3211100.426,921,19963.79938,1614.167653,3.926336171
67320,3214678.921,924,19975.51366,1613.873156,3.924536468
67680,3217735.658,932,19980.30689,1613.740488,3.930613992
68040,3211706.386,936,19978.44757,1613.121477,3.928012934
68400,3217472.34,942,19959.38599,1610.842512,3.924585526
68760,3217168.859,946,19972.45386,1609.618864,3.923208406
69120,3217456.372,946,19979.32893,1609.618864,3.917883536
69480,3212363.355,956,19976.3585,1604.497617,3.917071675
69840,3216319.045,961,19977.70506,1603.999051,3.932865192
70200,3215989.075,965,19973.77158,1602.297732,3.932014387
70560,3213378.177,971,19973.7049,1602.316729,3.929293438
70920,3212373.699,976,19972.93263,1600.787652,3.91806747
71280,3213516.82,984,19965.86481,1600.337976,3.915779952
71640,3209984.444,987,19965.82425,1600.172222,3.913941862
72000,3217513.143,994,19975.50159,1598.965961,3.925645556
72360,3211669.759,997,19969.90211,1598.630275,3.918987977
72720,3214962.57,1003,19976.70529,1597.281022,3.924862624
73080,3213819.735,1011,19970.74003,1595.896739,3.927126916
73440,3211117.877,1018,19960.88516,1595.342934,3.922949142
73800,3208082.687,1019,19971.29692,1595.357014,3.917875745
74160,3214644.559,1032,19960.05333,1593.111111,3.913526025
74520,3212827.571,1036,19975.98348,1594.113375,3.912012748
74880,3215227.151,1040,19964.2916,1595.654016,3.926023104
75240,3215202.195,1050,19960.01147,1601.027122,3.919724681
75600,3206234.076,1057,19948.89222,1605.250217,3.922557804
75960,3215521.739,1060,19971.15276,1609.632124,3.933284558
76320,3210963.917,1062,19942.68221,1611.403448,3.924915422
76680,3210486.385,1064,19975.30595,1617.040205,3.917623891
77040,3215285.983,1069,19976.63634,1621.56,3.914524013
77400,3211880.859,1071,19968.79549,1625.162574,3.918121964
77760,3213725.621,1077,19976.56618,1631.383193,3.90755099
78120,3216879.437,1079,19977.10606,1635.250836,3.9068782
78480,3215467.16,1079,19957.28412,1637.788157,3.90893081
78840,3214521.643,1080,19950.80902,1641.711203,3.911875634
79200,3213866.789,1083,19972.39383,1648.912829,3.906779545
79560,3214112.139,1085,19975.19045,1653.557283,3.898862682
79920,3216137.068,1088,19977.09085,1654.475102,3.906700763
80280,3213736.375,1091,19976.98484,1657.595122,3.895370578
80640,3210811.725,1097,19949.76882,1659.865696,3.886236979
