Time;Lateness;Assembly;Total;CycleTime;Consumab;Material;InDueTotal
67680;-879.2275862;3.981028812;1015;1518.301478;19960.86979;3210199.386;994
68160;-882.2436399;3.986899868;1022;1514.482387;19970.40086;3216466.003;1001
68640;-884.0874636;3.98808734;1029;1512.077745;19976.74732;3211173.881;1008
69120;-886.2466151;4.000121528;1034;1510.514507;19974.32732;3215874.989;1013
69600;-889.7783109;3.993828161;1042;1507.373321;19976.68188;3214206.67;1021
70080;-893.3742857;4.009190996;1050;1504.67619;19964.60466;3216829.937;1029
70560;-895.7014218;4.024579507;1055;1501.422749;19967.70095;3217139.328;1034
71040;-897.6836638;4.021097199;1059;1500.154863;19975.66137;3217106.187;1038
71520;-899.6073446;4.028025028;1062;1498.672316;19962.43695;3212988.191;1041
72000;-901.8686679;4.045038889;1066;1496.293621;19976.98765;3217784.076;1045
72480;-904.3641457;4.037784216;1071;1493.43324;19970.67469;3213964.706;1050
72960;-908.0898981;4.038271313;1079;1489.965709;19971.97403;3217138.842;1058
73440;-910.3735051;4.036456019;1087;1487.200552;19960.75164;3216746.571;1066
73920;-911.9560842;4.042234375;1093;1485.360476;19970.73053;3212207.329;1072
74400;-913.7713249;4.034455376;1102;1484.045372;19974.54934;3213967.335;1081
74880;-914.5751812;4.038430489;1104;1483.144022;19974.44589;3211215.599;1083
75360;-917.2188341;4.025464172;1115;1482.324664;19957.38582;3215286.204;1094
75840;-917.1102222;4.020364517;1125;1483.416889;19972.39814;3215651.367;1104
76320;-916.2661362;4.023193724;1131;1484.446508;19965.11327;3216592.527;1110
76800;-916.8777485;4.022540755;1137;1483.473175;19969.62198;3217585.581;1116
77280;-918.3916084;4.018735313;1144;1481.918706;19970.05653;3214633.364;1123
77760;-918.9565217;4.027753858;1150;1482.49913;19967.6658;3216052.147;1129
78240;-919.7775862;4.030460187;1160;1481.87069;19968.88525;3216169.29;1139
78720;-921.7226027;4.031253747;1168;1479.741438;19974.89674;3215808.629;1147
79200;-923.1372549;4.024212374;1173;1478.389599;19960.29276;3209647.118;1152
79680;-925.1782683;4.03524498;1178;1475.67657;19973.9217;3217538.017;1157
80160;-928.1308017;4.022642465;1185;1472.214346;19975.92886;3209151.545;1164
3360;-1511.076923;5.320453869;13;738.1538462;19975.62308;3196385.824;13
3840;-1510.375;5.11563151;16;809.6875;19733.71554;3060370.688;16
4320;-1491.26087;4.990792824;23;857.1304348;19832.57748;3165626.144;23
4800;-1492.551724;4.987482292;29;902.2758621;19972.05191;3167078.071;29
5280;-1501.272727;4.97328125;33;914.4848485;19870.24885;3180284.229;33
5760;-1467.02439;4.951149306;41;924.4878049;19861.76268;3142928.377;41
6240;-1474.844444;4.879999199;45;909.2222222;19989.14873;3145303.206;45
6720;-1448.555556;5.047539435;54;940.9444444;19933.16514;3179441.971;54
7200;-1427.258065;4.834519444;62;969.7419355;19867.97035;3174696.746;62
7680;-1335.6;4.87510612;75;1077.026667;19989.26847;3190897.731;75
8160;-1286.567901;4.819628064;81;1122.320988;19873.28325;3197678.195;81
8640;-1269.505882;4.764126157;85;1127.776471;19913.65551;3166337.588;85
9120;-1263.56044;4.72064693;91;1134.395604;19956.34481;3126163.393;91
9600;-1266.5625;4.810424479;96;1127.552083;19972.88444;3202047.172;96
10080;-1269.875;4.695708829;104;1113.490385;19979.90357;3193615.684;104
10560;-1260.521739;4.644133523;115;1130.8;19809.24822;3173490.669;115
11040;-1253.256198;4.622555707;121;1130.834711;19868.03343;3133296.147;121
11520;-1256.626984;4.781343316;126;1128.904762;19903.67001;3185285.499;126
12000;-1265.348485;4.827275833;132;1117.348485;19986.45619;3181402.548;132
12480;-1275.308824;4.809834135;136;1107.191176;19977.93838;3184111.042;136
12960;-1275.049645;4.901187886;141;1100.510638;19997.03692;3197996.555;141
13440;-1277.42;4.794824777;150;1101.113333;19995.4209;3183313.362;150
13920;-1276.477707;4.751506106;157;1107.617834;19917.77326;3187374.94;157
14400;-1252.184524;4.71105625;168;1125.583333;19981.37681;3201970.862;168
14880;-1227.420455;4.686543683;176;1161.761364;19942.78931;3184490.736;176
15360;-1205.561497;4.682535482;187;1184.614973;19961.91826;3179863.77;187
15840;-1198.595855;4.657607323;193;1190.279793;19936.96483;3186657.905;193
16320;-1199.994872;4.705501838;195;1186.548718;19954.52417;3215232.225;195
16800;-1203.363636;4.698949702;198;1190.252525;19987.13192;3206218.224;198
17280;-1209.176471;4.653839699;204;1181.676471;19933.45319;3200342.901;204
17760;-1213.618357;4.628327421;207;1182.038647;19954.72694;3203067.69;207
18240;-1222.788732;4.630291667;213;1170.539906;19979.2577;3210574.321;213
18720;-1218.538117;4.583680556;223;1171.892377;19992.90994;3217051.619;223
19200;-1219.23348;4.629834635;227;1176.14978;19938.18811;3194095.609;227
19680;-1221.008511;4.605277947;235;1175.72766;19976.03753;3200640.904;235
20160;-1225.133333;4.575013145;240;1171.195833;19982.32564;3201629.379;240
20640;-1227.189516;4.540817345;248;1166.58871;19990.738;3201317.336;248
21120;-1226.098425;4.527225616;254;1168.917323;19986.45948;3211978.483;254
21600;-1226.175573;4.562726852;262;1165.419847;19953.20424;3194626.932;262
22080;-1224.518519;4.528684103;270;1163.737037;19986.58695;3205805.668;270
22560;-1226.14652;4.521848626;273;1161.630037;19986.63768;3198551.578;273
23040;-1230.523297;4.50037283;279;1159.989247;19992.75292;3207637.316;279
23520;-1228.730104;4.457332058;289;1160.15917;19964.61152;3199496.92;289
24000;-1221.503356;4.439954583;298;1164.818792;19978.41006;3214736.099;298
24480;-1213.131148;4.415967525;305;1175.101639;19925.52778;3212693.399;305
24960;-1201.852201;4.446994391;318;1187.707547;19948.74736;3211239.988;318
25440;-1198.040248;4.418535574;323;1191.532508;19982.08348;3207855.531;323
25920;-1198.763077;4.432061535;325;1188.378462;19960.96829;3204090.952;325
26400;-1201.53012;4.427002652;332;1185.292169;19920.55083;3198592.891;332
26880;-1203.775148;4.412894159;338;1185.544379;19989.78035;3218103.043;338
27360;-1206.840116;4.395679459;344;1184.994186;19950.9945;3208706.604;344
27840;-1209.068768;4.411473958;349;1183.581662;19970.27414;3213996.588;349
28320;-1199.861878;4.379034781;362;1193.265193;19961.01084;3198255.3;362
28800;-1193.9729;4.425505556;369;1195.211382;19940.2487;3207349.52;369
29280;-1192.233244;4.40814071;373;1196.790885;19976.83156;3200807.851;373
29760;-1189.368146;4.386649026;383;1200.250653;19980.32877;3211042.583;383
30240;-1185.143959;4.389112434;389;1205.357326;19933.14949;3205549.689;389
30720;-1185.427848;4.392018555;395;1206.582278;19966.14701;3198616.836;395
31200;-1187.062814;4.374746474;398;1204.055276;19989.49004;3209285.705;398
31680;-1189.773399;4.377996843;406;1202.926108;19989.40519;3213413.616;406
32160;-1184.514423;4.354524098;416;1209.165865;19990.87097;3212733.227;416
32640;-1172.388759;4.377181219;427;1220.770492;19991.98103;3214247.969;427
33120;-1166.036952;4.342276419;433;1229.690531;19986.7226;3195756.953;433
33600;-1154.116854;4.359358929;445;1247.316854;19985.77124;3202571.421;445
34080;-1142.401766;4.353491344;453;1262.203091;19988.65835;3213151.368;453
34560;-1125.25486;4.313640625;463;1277.719222;19931.31234;3195965.645;463
35040;-1113.271762;4.319101741;471;1287.55414;19932.88491;3214102.627;471
35520;-1111.080169;4.330082207;474;1289.732068;19955.19581;3199754.954;474
36000;-1111.640167;4.314643611;478;1290.213389;19987.18297;3198932.397;478
36480;-1106.382413;4.327308525;489;1295.607362;19984.3621;3208850.798;489
36960;-1094.398798;4.306017045;499;1308.236473;19978.91077;3209941.732;499
37440;-1084.557087;4.302869124;508;1319.809055;19989.60356;3211609.066;508
37920;-1082.099415;4.306950686;513;1322.483431;19981.58493;3207336.889;513
38400;-1079.986538;4.312331641;520;1325.726923;19986.76549;3216798.874;520
38880;-1076.768362;4.300969393;531;1324.644068;19977.42641;3212127.503;531
39360;-1073.139405;4.305555513;538;1325.392193;19990.14756;3210089.584;538
39840;-1073.753223;4.313394453;543;1324.85267;19988.51254;3216533.618;543
40320;-1075.074681;4.319028646;549;1323.546448;19985.92277;3215276.819;549
40800;-1076.504537;4.316067402;551;1322.618875;19986.81919;3211771.549;551
41280;-1079.719643;4.296767321;560;1317.733929;19953.33353;3214265.099;560
41760;-1082.230228;4.310980364;569;1317.12478;19947.6328;3214787.333;569
42240;-1084.900697;4.317394295;574;1313.308362;19987.95221;3216454.183;574
42720;-1086.652249;4.309580173;578;1311.140138;19986.43626;3218990.948;578
43200;-1090.315068;4.287130093;584;1306.652397;19980.78903;3211809.791;584
43680;-1090.342327;4.29771543;593;1306.652614;19978.01108;3213700.828;593
44160;-1091.958333;4.317584126;600;1304.096667;19977.54347;3215724.638;600
44640;-1093.754125;4.331603159;606;1300.452145;19985.8137;3215196.509;606
45120;-1093.403566;4.329512965;617;1303.714749;19978.85205;3215593.701;617
45600;-1093.459807;4.317625768;622;1302.590032;19984.95817;3212172.905;622
46080;-1094.529412;4.319414388;629;1301.866455;19987.89696;3217707.135;629
46560;-1095.607874;4.304631336;635;1300.387402;19941.41978;3207617.844;635
47040;-1096.032659;4.30680591;643;1298.600311;19986.36811;3211412.069;643
47520;-1094.744648;4.286174874;654;1299.238532;19967.54553;3210173.599;654
48000;-1089.775264;4.284230417;663;1303.054299;19986.14398;3213921.088;663
48480;-1086.71875;4.282529909;672;1306.385417;19982.73536;3211665.221;672
48960;-1086.855869;4.273562092;673;1305.762259;19980.61485;3212752.494;673
49440;-1088.850812;4.272046521;677;1302.143279;19984.99828;3217233.565;677
49920;-1092.254386;4.273807392;684;1297.114035;19971.48511;3211292.613;684
50400;-1094.608382;4.286586111;692;1294.612717;19978.24522;3212997.98;692
50880;-1095.939828;4.273328125;698;1293.140401;19985.26983;3215452.762;698
51360;-1098.620397;4.266882496;706;1292.730878;19980.29463;3211878.697;706
51840;-1100.494366;4.274172743;710;1290.476056;19976.76002;3212462.952;710
52320;-1102.293296;4.268279148;716;1288.473464;19974.81666;3212106.773;716
52800;-1103.891034;4.271086458;725;1287.372414;19982.35977;3215590.843;725
53280;-1106.058824;4.275860267;731;1286.247606;19974.20668;3214843.141;731
53760;-1105.591093;4.28522433;741;1286.175439;19927.16045;3202986.305;741
54240;-1100.017356;4.27938431;749;1290.408545;19985.38796;3212000.348;749
54720;-1088.2021;4.274589181;762;1302.678478;19977.96001;3211732.965;762
55200;-1079.522078;4.268046105;770;1310.015584;19967.93827;3210981.964;770
55680;-1069.802057;4.259094379;778;1321.280206;19983.92778;3202857.994;777
56160;-1060.950318;4.260126425;785;1331.849682;19984.87456;3210646.937;780
