TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
5.31,11.59,404,40,8,4077
5.31,11.59,254,25,5,2870
5.31,11.59,399,40,8,4846
5.31,11.59,254,25,5,3686
6.69,11.88,150,15,3,1537
6.69,11.88,417,40,8,5234
6.76,12.12,153,15,3,1823
6.76,12.12,156,15,3,2089
6.76,12.12,201,20,4,2505
6.76,12.12,442,45,9,5050
7.64,12.06,254,25,5,2851
7.64,12.06,199,20,4,2902
7.85,11.3,145,15,3,1887
5.59,11.12,193,20,4,2376
5.59,11.12,199,20,4,2530
5.59,11.12,209,20,4,3003
2.66,7.07,145,15,3,2138
2.66,7.07,195,20,4,1976
3.29,7.85,442,45,9,4645
3.29,7.85,195,20,4,2381
3.29,7.85,149,15,3,1792
4.51,10.84,193,20,4,2893
4.51,10.84,195,20,4,2709
4.47,11.41,150,15,3,1914
3.52,9.25,256,25,5,3455
3.52,9.25,156,15,3,1585
4.3,10.76,149,15,3,1650
4.3,10.76,201,20,4,2512
4.3,10.76,200,20,4,2815
4.11,10.29,197,20,4,2593
4.11,10.29,155,15,3,2141
3.93,9.57,147,15,3,2037
2.48,5.19,158,15,3,1588
2.48,5.19,404,40,8,4338
2.92,7.43,199,20,4,2039
3.53,7.83,256,25,5,3481
3.53,7.83,158,15,3,1831
3.34,8.24,200,20,4,2132
2.86,7.4,404,40,8,5557
2.86,7.4,150,15,3,2109
2.86,7.4,417,40,8,5245
4.51,11.42,152,15,3,2011
2.52,6.97,158,15,3,1699
2.52,6.97,145,15,3,1752
3.73,8.8,253,25,5,3592
2.69,6.47,310,30,6,4022
2.69,6.47,156,15,3,2183
2.5,6.01,199,20,4,2951
2.5,6.01,158,15,3,2346
1.81,5.4,156,15,3,1648
1.98,4.29,404,40,8,5769
1.98,4.29,245,25,5,3318
2.27,6.22,254,25,5,3283
2.27,6.22,197,20,4,2623
2.27,6.22,256,25,5,3575
2.27,6.22,199,20,4,2602
4.3,9.53,404,40,8,5302
5.55,12.03,417,40,8,5979
4.4,8.38,161,15,3,2052
0.52,1.36,255,25,5,3278
0.52,1.36,404,40,8,5676
3.92,10.01,199,20,4,2699
3.92,10.01,150,15,3,1670
3.47,8.59,417,40,8,5368
1.38,3.1,199,20,4,2322
0.65,2.18,310,30,6,3858
2.55,6.64,256,25,5,3455
2.68,6.86,152,15,3,2110
2.68,6.86,145,15,3,1954
2.68,6.86,155,15,3,1763
2.34,5.8,156,15,3,1651
1.77,4.73,153,15,3,1871
1.77,4.73,310,30,6,3866
3.45,7.26,152,15,3,1687
3.45,7.26,404,40,8,5499
4.58,11.02,404,40,8,4861
4.58,11.02,145,15,3,1855
3.68,9.95,442,45,9,5341
3.68,9.95,152,15,3,2143
2.29,6.6,147,15,3,1500
0.07,0.01,253,25,5,3341
0.07,0.01,149,15,3,1753
0.07,0.01,149,15,3,1730
0.07,0.01,147,15,3,2201
0.07,0.01,161,15,3,1669
0.07,0.01,254,25,5,2764
6.04,11.65,417,40,8,5670
4.88,11.28,417,40,8,4810
4.88,11.28,161,15,3,2178
4.88,11.28,195,20,4,2343
4.88,11.28,150,15,3,2236
4.98,10.56,156,15,3,2158
4.98,10.56,417,40,8,4566
4.98,10.56,253,25,5,2718
5.83,10.21,397,40,8,5147
5.83,10.21,156,15,3,1781
4.9,9.97,442,45,9,5206
4.9,9.97,149,15,3,1572
4.9,9.97,153,15,3,1620
5.53,12.19,149,15,3,2140
5.53,12.19,158,15,3,2255
5.53,12.19,147,15,3,1811
5.07,10.93,310,30,6,3145
3.34,8.41,199,20,4,2517
3.34,8.41,158,15,3,2247
3.34,8.41,200,20,4,2807
3.15,6.47,404,40,8,4104
3.15,6.47,245,25,5,3366
4.55,9.84,149,15,3,2115
4.55,9.84,195,20,4,2278
4.55,9.84,149,15,3,1640
4.55,9.84,153,15,3,2170
4.26,11.19,404,40,8,4819
4.86,11.2,147,15,3,1856
3.03,7.3,199,20,4,2481
3.03,7.3,158,15,3,1812
3.51,9,158,15,3,1991
3.51,9,197,20,4,2051
3.51,9,200,20,4,2398
2.88,7.8,145,15,3,1652
2.88,7.8,195,20,4,2347
2.88,7.8,397,40,8,5271
4.41,10.59,158,15,3,2340
3.01,8.01,147,15,3,1501
1.1,3.08,253,25,5,3290
1.1,3.08,404,40,8,4689
4.45,11.38,200,20,4,2323
4.45,11.38,197,20,4,2345
4.45,11.38,152,15,3,1993
4.32,9.82,151,15,3,1886
3.54,9.67,155,15,3,1776
3.73,7.66,201,20,4,2421
2.05,5.16,147,15,3,1748
2.05,5.16,201,20,4,3003
2.13,6.06,147,15,3,1819
2.13,6.06,199,20,4,2025
2.13,6.06,152,15,3,1563
3.9,9.12,255,25,5,3379
3.9,9.12,156,15,3,1979
1.25,3.38,145,15,3,1680
2.15,5.31,200,20,4,2194
0.25,0.62,147,15,3,1534
0.25,0.62,152,15,3,1581
2.53,6.88,442,45,9,5757
2.53,6.88,256,25,5,3486
2.53,6.88,200,20,4,2345
2.53,6.88,152,15,3,1863
4.25,9.7,397,40,8,4247
4.25,9.7,245,25,5,2859
4.25,9.7,404,40,8,4898
4.25,9.7,161,15,3,2162
6.76,12.43,150,15,3,1717
6.76,12.43,145,15,3,1950
6.76,12.43,153,15,3,1967
6.76,12.43,209,20,4,3079
5.44,10.09,195,20,4,2376
5.44,10.09,197,20,4,2822
6.47,11.42,195,20,4,2474
6.47,11.42,417,40,8,5358
6.38,11.23,193,20,4,2129
5.57,12.2,161,15,3,1742
5.57,12.2,152,15,3,1746
5.57,12.2,145,15,3,1891
5.57,12.2,310,30,6,3635
5.57,12.2,310,30,6,4047
4.91,10.2,397,40,8,4664
4.91,10.2,149,15,3,1659
4.91,10.2,255,25,5,3225
6.33,11.9,158,15,3,2346
6.15,11.08,155,15,3,1830
6.15,11.08,153,15,3,2176
6.15,11.08,397,40,8,5196
5.93,12.54,209,20,4,3101
5.93,12.54,310,30,6,3495
5.93,12.54,201,20,4,2089
5.93,12.54,310,30,6,4032
5.93,12.54,149,15,3,2094
6.47,11.47,145,15,3,1474
6.47,11.47,255,25,5,3053
6.47,11.47,161,15,3,2125
7.83,10.66,158,15,3,2119
6.46,11.12,255,25,5,3574
6.46,11.12,155,15,3,2236
6.46,11.12,151,15,3,1763
6.15,11.01,147,15,3,1805
6.15,11.01,156,15,3,1732
6.15,11.01,199,20,4,2133
6.64,11.27,200,20,4,2209
6.64,11.27,201,20,4,2889
6.64,11.27,201,20,4,2790
5.64,11.42,399,40,8,4392
5.64,11.42,152,15,3,2100
5.77,11.07,253,25,5,3515
5.77,11.07,193,20,4,2280
6.15,12.08,156,15,3,1961
6.15,12.08,255,25,5,2955
6.15,12.08,193,20,4,2690
5.72,11.42,155,15,3,1592
5.72,11.42,254,25,5,3234
5.77,11.53,255,25,5,2823
5.77,11.53,255,25,5,3402
5.5,10.67,158,15,3,2132
5.28,9.78,199,20,4,2212
5.28,9.78,442,45,9,5498
4.06,8.9,155,15,3,1567
4.06,8.9,397,40,8,4544
4.06,8.9,156,15,3,2076
4.06,8.9,149,15,3,1859
4.06,8.9,199,20,4,2573
4.88,10,255,25,5,3010
6.35,11.96,161,15,3,2320
6.35,11.96,245,25,5,2854
5.19,11.1,197,20,4,2130
5.19,11.1,152,15,3,2115
4.75,11.25,145,15,3,1890
5.74,11.32,153,15,3,1538
3.38,9,153,15,3,1765
1.86,4.42,399,40,8,5233
1.86,4.42,245,25,5,3006
3.28,9.57,195,20,4,2652
3.86,11.08,149,15,3,1656
3.86,11.08,151,15,3,1738
2.65,5.85,145,15,3,2049
2.65,5.85,156,15,3,1594
3.04,7.4,145,15,3,1981
3.04,7.4,151,15,3,1773
3.04,7.4,255,25,5,2955
3.04,7.4,161,15,3,1702
4.92,9.69,254,25,5,2943
4.22,10.31,193,20,4,2872
4.22,10.31,255,25,5,3001
4.22,10.31,149,15,3,1795
4.25,8.52,152,15,3,1999
3.87,8.47,156,15,3,1785
3.87,8.47,254,25,5,3529
3.87,8.47,158,15,3,1988
4.91,9.75,150,15,3,2080
4.91,9.75,197,20,4,2336
4.91,9.75,255,25,5,2591
4.91,9.75,161,15,3,2138
4.91,9.75,209,20,4,2483
4.91,9.75,145,15,3,1851
4.91,9.75,256,25,5,2791
5.57,11.58,209,20,4,2222
5.57,11.58,201,20,4,2647
7.58,11.64,151,15,3,2022
7.58,11.64,200,20,4,2205
7.58,11.64,253,25,5,3429
6.85,12.08,193,20,4,2053
6.85,12.08,399,40,8,5742
7.58,10.88,199,20,4,2573
7.58,10.88,255,25,5,3542
7.58,10.88,161,15,3,1672
6.86,11.01,152,15,3,1707
6.86,11.01,151,15,3,1899
6.86,11.01,150,15,3,1584
6.45,9.4,253,25,5,3003
6.45,9.4,199,20,4,2877
6.02,12.38,255,25,5,3458
6.02,12.38,256,25,5,3649
6.02,12.38,149,15,3,1958
7.03,11.45,156,15,3,1748
7.03,11.45,149,15,3,1981
7.03,11.45,245,25,5,2881
5.96,11.66,147,15,3,2123
5.96,11.66,197,20,4,2077
5.96,11.66,153,15,3,1699
4.03,9.81,193,20,4,2142
4.03,9.81,156,15,3,1564
4.03,9.81,161,15,3,1738
2.21,6.02,149,15,3,2017
2.76,7.72,399,40,8,4156
3.86,10.24,199,20,4,2527
3.86,10.24,161,15,3,2062
3.58,8.69,145,15,3,1600
1.05,1.92,158,15,3,1967
0,0,201,20,4,2071
1.05,1.92,151,15,3,2027
1.05,1.92,256,25,5,2825
2.33,7.33,399,40,8,5973
2.33,7.33,255,25,5,2741
5.19,10.97,399,40,8,4222
5.19,10.97,442,45,9,6102
5.19,10.97,152,15,3,1970
5.19,10.97,156,15,3,2038
6.74,11.73,147,15,3,1576
5.34,10.72,151,15,3,1644
5.34,10.72,255,25,5,3316
3.33,8.42,151,15,3,2098
2.51,6.24,253,25,5,3021
2.51,6.24,200,20,4,2235
0.81,1.97,199,20,4,2247
0.81,1.97,254,25,5,2655
4.21,8.7,442,45,9,5263
3.86,10.31,155,15,3,1666
3.86,10.31,199,20,4,2534
4.7,11,254,25,5,3615
3.83,8.73,442,45,9,5119
3.83,8.73,153,15,3,1650
3.83,8.73,256,25,5,2978
3.94,9.3,197,20,4,2733
3.94,9.3,156,15,3,1663
4.05,8.76,193,20,4,2782
4.05,8.76,149,15,3,1945
2.28,5.44,156,15,3,1641
2.28,5.44,399,40,8,4972
2.28,5.44,397,40,8,4822
3.31,8.33,254,25,5,3336
3.31,8.33,150,15,3,2109
5.25,11.3,153,15,3,1772
5.05,11.18,145,15,3,1847
5.05,11.18,158,15,3,2177
5.05,11.18,245,25,5,2779
3.07,7.09,161,15,3,1618
3.07,7.09,153,15,3,2082
2.58,7.31,193,20,4,2388
3.48,8.38,193,20,4,2834
3.48,8.38,161,15,3,2232
3.48,8.38,161,15,3,2149
3.19,7.05,255,25,5,2696
4.51,8.26,417,40,8,4781
4.51,8.26,149,15,3,1777
3.38,7.95,209,20,4,2264
3.38,7.95,155,15,3,1881
2.59,5.79,417,40,8,5253
2.59,5.79,147,15,3,1642
2.59,5.79,209,20,4,2933
3.93,9.58,255,25,5,3457
3.93,9.58,417,40,8,5759
4.76,10.64,145,15,3,1920
4.66,10.47,151,15,3,1907
4.67,11.85,255,25,5,3403
4.67,11.85,161,15,3,1982
3.4,7.94,155,15,3,2105
3.4,7.94,145,15,3,2050
3.81,9.95,417,40,8,5561
3.81,9.95,151,15,3,1916
4.36,9.72,149,15,3,1880
4.36,9.72,149,15,3,2036
3.76,10.26,155,15,3,2183
3.76,10.26,209,20,4,2533
3.76,10.26,147,15,3,2007
3.76,10.26,156,15,3,2132
3.76,10.26,255,25,5,3149
3.76,10.26,147,15,3,1568
4.83,10.25,199,20,4,2827
4.83,10.25,145,15,3,2170
5.22,10.9,310,30,6,3701
5.04,12.03,397,40,8,4399
0.47,0.38,255,25,5,3462
0.47,0.38,195,20,4,2838
0.02,0.2,153,15,3,2207
0.02,0.2,399,40,8,5191
3.73,9.71,197,20,4,2337
3.73,9.71,256,25,5,3552
3.76,8.21,158,15,3,2113
3.75,8.16,200,20,4,2953
3.75,8.16,255,25,5,2953
3.75,8.16,310,30,6,4287
4.98,10.16,256,25,5,3342
3.7,9.15,199,20,4,2211
1.71,3.12,199,20,4,2554
1.71,3.12,195,20,4,2781
2.12,6.12,399,40,8,4465
4.77,9.64,399,40,8,4512
4.77,9.64,404,40,8,4276
4.77,9.64,199,20,4,2970
4.77,9.64,197,20,4,2589
5.49,11.96,199,20,4,2424
5.49,11.96,150,15,3,1640
5,13.15,149,15,3,1775
5,13.15,253,25,5,3426
5.64,11.31,156,15,3,1942
4.79,10.44,201,20,4,2552
4.79,10.44,195,20,4,2359
4.79,10.44,397,40,8,5784
4.43,10.51,200,20,4,2366
4.43,10.51,256,25,5,3026
4.43,10.51,149,15,3,1704
4.43,10.51,149,15,3,2138
3.85,8.71,254,25,5,2925
4.43,9.51,195,20,4,2479
4.43,9.51,149,15,3,1639
4.43,9.51,151,15,3,1695
4.43,9.51,256,25,5,3243
4.42,10.33,153,15,3,1888
4.42,10.33,199,20,4,2380
5.19,11.46,310,30,6,4061
5.19,11.46,151,15,3,2137
4.33,10.25,245,25,5,3198
4.33,10.25,147,15,3,1955
3.47,8.78,156,15,3,1984
3.47,8.78,404,40,8,4067
3.47,8.78,145,15,3,1741
4.25,10.22,201,20,4,2744
4.91,11.64,193,20,4,1947
4.91,11.64,155,15,3,1746
4.91,11.64,442,45,9,4882
4.91,11.64,197,20,4,2387
4.79,11.85,255,25,5,3390
4.79,11.85,255,25,5,3677
4.79,11.85,195,20,4,2840
4.79,11.85,193,20,4,2248
4.79,11.85,200,20,4,2562
7.07,11.41,152,15,3,1661
7.07,11.41,150,15,3,1529
7.07,11.41,255,25,5,3120
7.07,11.41,155,15,3,1692
7.07,11.41,197,20,4,2140
7.14,12.05,195,20,4,2404
6.94,11.88,147,15,3,1698
6.94,11.88,404,40,8,4085
6.26,11.88,195,20,4,2308
6.26,11.88,310,30,6,3123
6.26,11.88,255,25,5,3787
6.26,11.88,245,25,5,2513
6.36,10.73,201,20,4,2813
5.33,10.62,399,40,8,4280
5.69,11.02,199,20,4,2636
5.69,11.02,149,15,3,1887
5.69,11.02,195,20,4,2793
5.69,11.02,145,15,3,1926
4.58,10.52,161,15,3,1744
4.07,10.81,151,15,3,2028
4.07,10.81,156,15,3,1687
4.07,10.81,195,20,4,2288
4.35,10.26,158,15,3,1766
4.45,9.99,417,40,8,5531
4.45,9.99,153,15,3,2110
4.2,9.82,404,40,8,4577
4.47,11,150,15,3,2167
4.47,11,156,15,3,1874
3.94,8.85,150,15,3,2229
4.4,10.38,417,40,8,4720
4.4,10.38,145,15,3,1462
3.6,9.14,255,25,5,3471
3.6,9.14,399,40,8,5534
3.6,9.14,201,20,4,2580
5.27,10.18,197,20,4,2663
4.25,10.57,155,15,3,1652
4.25,10.57,156,15,3,2306
4.25,10.57,399,40,8,5293
4.25,10.57,255,25,5,3817
4.25,10.57,147,15,3,1690
6.17,10.12,199,20,4,2212
6.17,10.12,149,15,3,1915
6.17,10.12,147,15,3,1487
4.66,9.86,155,15,3,1832
4.66,9.86,156,15,3,1818
4.44,10.94,310,30,6,3811
4.44,10.94,156,15,3,2049
4.44,10.94,256,25,5,3016
4.54,11.12,149,15,3,1539
4.54,11.12,152,15,3,2184
4.54,11.12,200,20,4,2496
4.5,9.04,156,15,3,2016
4.5,9.04,152,15,3,1809
5.09,11.69,253,25,5,3345
4.95,11.38,145,15,3,2103
3.09,7.4,256,25,5,3482
3.09,7.4,151,15,3,1737
3.56,8.69,156,15,3,1828
3.56,8.69,310,30,6,3854
3.56,8.69,158,15,3,1781
3.56,8.69,147,15,3,1642
4.76,10.65,209,20,4,3095
4.76,10.65,193,20,4,2068
4.76,10.65,149,15,3,1647
4.21,10.18,147,15,3,1735
4.21,10.18,153,15,3,1951
4.21,10.18,153,15,3,1968
4.46,9.09,199,20,4,2830
4.46,9.09,155,15,3,1673
4.27,9.14,150,15,3,1793
2.97,8.34,151,15,3,2009
3.03,6.51,397,40,8,4576
3.69,8.74,254,25,5,3246
3.69,8.74,153,15,3,1829
3.69,8.74,253,25,5,3155
4.54,10.01,417,40,8,5206
4.54,10.01,255,25,5,3574
4.54,10.01,256,25,5,3774
